# Radius     Gravity      Pressure     Temperature  Density      Vp           Vs           K            G            Expansivity  Cp            dGdT         
4.292981e+06 1.002358e+01 9.113975e+10 2.298108e+03 5.142871e+03 1.308188e+04 6.907813e+03 5.529185e+11 2.454069e+11 1.467799e-05 1.234869e+03 -1.888269e+07
4.302452e+06 1.002038e+01 9.065020e+10 2.295504e+03 5.138307e+03 1.307017e+04 6.903819e+03 5.512324e+11 2.449057e+11 1.472101e-05 1.234995e+03 -1.890142e+07
4.311923e+06 1.001725e+01 9.016127e+10 2.292897e+03 5.133740e+03 1.305844e+04 6.899815e+03 5.495478e+11 2.444042e+11 1.476427e-05 1.235122e+03 -1.892143e+07
4.321394e+06 1.001419e+01 8.967294e+10 2.290287e+03 5.129168e+03 1.304669e+04 6.895799e+03 5.478644e+11 2.439024e+11 1.480777e-05 1.235249e+03 -1.894152e+07
4.330865e+06 1.001120e+01 8.918523e+10 2.287673e+03 5.124592e+03 1.303493e+04 6.891772e+03 5.461824e+11 2.434003e+11 1.485153e-05 1.235377e+03 -1.896170e+07
4.340337e+06 1.000829e+01 8.869806e+10 2.285055e+03 5.120011e+03 1.302314e+04 6.887733e+03 5.445015e+11 2.428978e+11 1.489555e-05 1.235506e+03 -1.898197e+07
4.349808e+06 1.000544e+01 8.821154e+10 2.282434e+03 5.115426e+03 1.301134e+04 6.883684e+03 5.428220e+11 2.423950e+11 1.493982e-05 1.235636e+03 -1.900289e+07
4.359279e+06 1.000266e+01 8.772562e+10 2.279809e+03 5.110836e+03 1.299951e+04 6.879623e+03 5.411438e+11 2.418919e+11 1.498434e-05 1.235766e+03 -1.902295e+07
4.368750e+06 9.999955e+00 8.724030e+10 2.277180e+03 5.106242e+03 1.298767e+04 6.875552e+03 5.394669e+11 2.413884e+11 1.502913e-05 1.235898e+03 -1.904329e+07
4.378221e+06 9.997314e+00 8.675556e+10 2.274548e+03 5.101643e+03 1.297580e+04 6.871468e+03 5.377912e+11 2.408847e+11 1.507418e-05 1.236029e+03 -1.906391e+07
4.387692e+06 9.994740e+00 8.627140e+10 2.271912e+03 5.097040e+03 1.296391e+04 6.867373e+03 5.361168e+11 2.403806e+11 1.511949e-05 1.236162e+03 -1.908463e+07
4.397163e+06 9.992231e+00 8.578783e+10 2.269272e+03 5.092432e+03 1.295201e+04 6.863267e+03 5.344435e+11 2.398761e+11 1.516508e-05 1.236295e+03 -1.910554e+07
4.406635e+06 9.989788e+00 8.530479e+10 2.266628e+03 5.087819e+03 1.294008e+04 6.859148e+03 5.327713e+11 2.393712e+11 1.521094e-05 1.236430e+03 -1.912636e+07
4.416106e+06 9.987409e+00 8.482238e+10 2.263981e+03 5.083201e+03 1.292813e+04 6.855018e+03 5.311004e+11 2.388661e+11 1.525707e-05 1.236565e+03 -1.914736e+07
4.425577e+06 9.985094e+00 8.434054e+10 2.261329e+03 5.078579e+03 1.291616e+04 6.850876e+03 5.294308e+11 2.383606e+11 1.530348e-05 1.236700e+03 -1.916847e+07
4.435048e+06 9.982842e+00 8.385927e+10 2.258674e+03 5.073951e+03 1.290417e+04 6.846723e+03 5.277623e+11 2.378547e+11 1.535017e-05 1.236837e+03 -1.918968e+07
4.444519e+06 9.980651e+00 8.337857e+10 2.256015e+03 5.069319e+03 1.289215e+04 6.842557e+03 5.260949e+11 2.373485e+11 1.539714e-05 1.236974e+03 -1.921098e+07
4.453990e+06 9.978522e+00 8.289843e+10 2.253352e+03 5.064682e+03 1.288012e+04 6.838379e+03 5.244287e+11 2.368419e+11 1.544440e-05 1.237112e+03 -1.923239e+07
4.463462e+06 9.976454e+00 8.241881e+10 2.250684e+03 5.060039e+03 1.286806e+04 6.834189e+03 5.227635e+11 2.363348e+11 1.549195e-05 1.237251e+03 -1.925389e+07
4.472933e+06 9.974446e+00 8.193980e+10 2.248013e+03 5.055391e+03 1.285598e+04 6.829986e+03 5.210995e+11 2.358275e+11 1.553979e-05 1.237391e+03 -1.927550e+07
4.482404e+06 9.972497e+00 8.146134e+10 2.245337e+03 5.050738e+03 1.284388e+04 6.825772e+03 5.194367e+11 2.353198e+11 1.558792e-05 1.237531e+03 -1.929721e+07
4.491875e+06 9.970606e+00 8.098344e+10 2.242657e+03 5.046080e+03 1.283176e+04 6.821545e+03 5.177750e+11 2.348116e+11 1.563636e-05 1.237673e+03 -1.931903e+07
4.501346e+06 9.968773e+00 8.050609e+10 2.239973e+03 5.041417e+03 1.281961e+04 6.817305e+03 5.161143e+11 2.343031e+11 1.568509e-05 1.237815e+03 -1.934095e+07
4.510817e+06 9.966997e+00 8.002929e+10 2.237285e+03 5.036748e+03 1.280744e+04 6.813053e+03 5.144547e+11 2.337942e+11 1.573413e-05 1.237958e+03 -1.936298e+07
4.520288e+06 9.965278e+00 7.955303e+10 2.234593e+03 5.032074e+03 1.279525e+04 6.808788e+03 5.127962e+11 2.332849e+11 1.578347e-05 1.238102e+03 -1.938511e+07
4.529760e+06 9.963614e+00 7.907727e+10 2.231896e+03 5.027394e+03 1.278303e+04 6.804510e+03 5.111385e+11 2.327752e+11 1.583313e-05 1.238247e+03 -1.940737e+07
